id;creation_date;name;bussiness_field;web_page;description
1;2020-02-19T08:56:32;evolve Fantastic;connecting Personal Loan Account;payment Montserrat;backing up Rue
2;2020-02-19T07:07:27;Generic Enterprise-wide Frozen;monitor teal Auto Loan Account;Handcrafted Executive matrix;content optical
3;2020-02-19T16:00:10;drive;Steel Automotive Ball;Metal Steel;JBOD Martinique system engine
4;2020-02-19T00:07:15;e-markets;invoice Road standardization;protocol SCSI;Chilean Peso Unidades de fomento withdrawal
5;2020-02-19T08:35:20;deposit;Russian Ruble standardization;Borders;Awesome
6;2020-02-19T12:04:34;District French Southern Territories;middleware next-generation;viral;platforms Grass-roots
7;2020-02-19T10:41:59;Handcrafted Frozen Shoes generating strategize;plum application;protocol;leverage copying architectures
8;2020-02-18T19:07:20;invoice Investment Account Bedfordshire;mint green;Alley;Hawaii morph Bolivia
9;2020-02-19T09:39:47;Fantastic Refined Cotton Sausages;Azerbaijanian Manat Grass-roots International;Montserrat Seamless bandwidth;structure Credit Card Account
10;2020-02-19T02:04:56;Glen internet solution Borders;Customizable viral array;transmit Buckinghamshire;Rubber synthesize Tanzanian Shilling
