id;creation_date;title;size;mime_type;exculpatory_id
1;2020-03-22T21:42:44;Sleek Plastic Chair bypassing;50362;mesh;1
2;2020-03-23T11:53:23;value-added Implemented Garden;30146;multi-byte Managed SCSI;2
3;2020-03-23T06:38:01;De-engineered Bermudian Dollar (customarily known as Bermuda Dollar);24765;Refined Concrete Shoes invoice Taka;3
4;2020-03-23T16:20:35;Soap reboot compress;4624;Hills;4
5;2020-03-22T20:05:49;Tenge Handcrafted;17503;Taiwan multi-byte;5
6;2020-03-23T03:43:43;Rubber magnetic invoice;68105;bypassing;6
7;2020-03-23T00:42:33;forecast engage tan;49006;efficient compress Investment Account;7
8;2020-03-23T00:17:55;Investment Account deposit;79230;Djibouti Franc exuding;8
9;2020-03-23T12:13:25;sensor Wallis and Futuna;57725;bypassing;9
10;2020-03-23T05:14:04;HTTP invoice;8607;action-items deposit;10
